strategy,avg_lik,avg_imp,avg_risk,avg_len,num_paths,dst
19 app_app12 app_app11 ,0.637344356221606,0.9320874919934954,0.597807859634777,1.846576227390181,188,amazonecho_source
19 app_app12 app_app11 ,0.5944392750655287,0.8382765786818799,0.4965317182557723,1.8755915127461456,3455,firedetection_source
19 app_app12 app_app11 ,0.5913353089227091,0.8110885162768529,0.47723946954119295,1.8752127056154282,501,intrusiondetection_source
19 app_app12 app_app11 ,0.5913584095491102,0.8113025802810717,0.4773918572377147,1.8742209631728046,8,bms_source
19 app_app12 app_app11 ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,7833,videosurveillance_source
19 app_app12 app_app11 ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,occupancymanagement_source
19 app_app12 app_app11 ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,energymanagement_source
20 printing_source ,0.6370967840991362,0.9322223968382497,0.5985926514960396,1.860041265474553,2907,smartthings_source
20 printing_source ,0.637344356221606,0.9320874919934954,0.597807859634777,1.846576227390181,188,amazonecho_source
20 printing_source ,0.5944392750655287,0.8382765786818799,0.4965317182557723,1.8755915127461456,3455,firedetection_source
20 printing_source ,0.5913353089227091,0.8110885162768529,0.47723946954119295,1.8752127056154282,501,intrusiondetection_source
20 printing_source ,0.5913584095491102,0.8113025802810717,0.4773918572377147,1.8742209631728046,8,bms_source
20 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,7833,videosurveillance_source
20 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,occupancymanagement_source
20 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,energymanagement_source
21 printing_source ,0.6370967840991362,0.9322223968382497,0.5985926514960396,1.860041265474553,2907,smartthings_source
21 printing_source ,0.637344356221606,0.9320874919934954,0.597807859634777,1.846576227390181,188,amazonecho_source
21 printing_source ,0.5944392750655287,0.8382765786818799,0.4965317182557723,1.8755915127461456,3455,firedetection_source
21 printing_source ,0.5913353089227091,0.8110885162768529,0.47723946954119295,1.8752127056154282,501,intrusiondetection_source
21 printing_source ,0.5913584095491102,0.8113025802810717,0.4773918572377147,1.8742209631728046,8,bms_source
21 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,7833,videosurveillance_source
21 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,occupancymanagement_source
21 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,energymanagement_source
22 printing_source ,0.6370967840991362,0.9322223968382497,0.5985926514960396,1.860041265474553,2907,smartthings_source
22 printing_source ,0.637344356221606,0.9320874919934954,0.597807859634777,1.846576227390181,188,amazonecho_source
22 printing_source ,0.5944392750655287,0.8382765786818799,0.4965317182557723,1.8755915127461456,3455,firedetection_source
22 printing_source ,0.5913353089227091,0.8110885162768529,0.47723946954119295,1.8752127056154282,501,intrusiondetection_source
22 printing_source ,0.5913584095491102,0.8113025802810717,0.4773918572377147,1.8742209631728046,8,bms_source
22 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,7833,videosurveillance_source
22 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,occupancymanagement_source
22 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,energymanagement_source
