strategy,avg_lik,avg_imp,avg_risk,avg_len,num_paths
24 amazonecho_source ,0.7272435741355476,0.8928749592083529,0.6441025159801559,1.849621785173979,3304
20 smartthings_source ,0.793615272272811,0.8161609204331032,0.6219654558145659,1.8655097613882865,460
21 smartthings_source ,0.793615272272811,0.8161609204331032,0.6219654558145659,1.8655097613882865,460
22 smartthings_source ,0.793615272272811,0.8161609204331032,0.6219654558145659,1.8655097613882865,460
24 smartthings_source ,0.793615272272811,0.8161609204331032,0.6219654558145659,1.8655097613882865,460
20 bms_source ,0.7172391925783972,0.8828096042890439,0.6299749640069923,1.8995557749259624,4051
21 bms_source ,0.7172391925783972,0.8828096042890439,0.6299749640069923,1.8995557749259624,4051
22 bms_source ,0.7172391925783972,0.8828096042890439,0.6299749640069923,1.8995557749259624,4051
24 bms_source ,0.7172391925783972,0.8828096042890439,0.6299749640069923,1.8995557749259624,4051
2 app_app12,0.7152875700262351,0.884967445455238,0.629265360826807,1.8789576229907448,4105
9 app_app12,0.7152875700262351,0.884967445455238,0.629265360826807,1.8789576229907448,4105
2 app_app11,0.7152875700262351,0.884967445455238,0.629265360826807,1.8789576229907448,4105
9 app_app11,0.7152875700262351,0.884967445455238,0.629265360826807,1.8789576229907448,4105
2 app_app38,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
9 app_app38,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
2 app_app36,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
9 app_app36,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
"14 <videosurveillance_source, 7155046.185>",0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
2 app_app22,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
9 app_app22,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
2 app_app21,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
9 app_app21,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
2 app_app23,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
9 app_app23,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
"14 <intrusiondetection_source, 23791523.1>",0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
2 app_app2,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
9 app_app2,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
2 app_app1,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
9 app_app1,0.7178792919718653,0.8843714068737545,0.6312958595721183,1.880009657170449,4141
"14 <smartthings_source, 102632.205>",0.7203863058792638,0.8835239660493557,0.6330555244001074,1.8814344962185896,4098
